ax,ay,az,gx,gy,gz,label
1.999939,0.6723633,1.157715,250.1298,43.64122,-250.1374,0,10
1.999939,-0.6645508,1.018066,61.48855,63.17557,-220.8092,0,10
1.999939,-0.6152344,1.034668,250.1298,250.1298,-45.72519,0,10
1.999939,0.5629883,1.516846,250.1298,241.8779,161.5343,0,10
1.999939,0.5310059,-0.9165039,250.1298,98.70229,-250.1374,0,10
1.999939,0.4899902,1.715576,250.1298,189.2977,-13.20611,0,10
1.999939,-0.4597168,1.999939,73.48092,17.61832,-2.633588,0,10
1.999939,0.3544922,0.5119629,125.8244,148.1756,-208.0,0,10
1.999939,-0.3496094,0.802002,-73.70229,-40.20611,182.229,0,10
1.999939,-0.2861328,1.430664,-120.5573,-114.1145,200.3588,0,10
1.999939,-0.2443848,1.062744,250.1298,81.46565,43.19847,0,10
1.999939,-0.2399902,-1.137695,250.1298,228.8473,-246.0382,0,10
1.999939,0.1201172,1.999939,250.1298,222.0687,-250.1374,0,10
1.999939,0.1188965,0.9980469,65.83206,88.25954,-93.93893,0,10
1.999939,0.111084,-0.2211914,250.1298,250.1298,-30.53435,0,10
1.999939,-0.01806641,-0.375,215.2672,38.41985,-21.83206,0,10
1.999939,-0.009521484,0.2255859,191.6107,200.8931,94.90839,0,10
1.958008,0.03686523,1.288086,-156.3053,-6.068702,-206.2824,0,10
-1.935791,0.7512207,-2.0,-250.1374,-86.19847,30.66412,0,10
1.908203,0.8803711,-0.3215332,250.1298,4.89313,48.85496,0,10
1.861328,-0.7700195,-0.4333496,230.626,87.51145,-105.3206,0,10
1.840576,-0.3991699,-0.2001953,163.7634,-14.70992,-66.1145,0,10
1.799561,0.123291,-0.05273438,-250.1374,-126.0687,-88.14503,0,10
1.791504,-0.7775879,1.973145,93.16794,113.4962,-67.19847,0,10
1.783936,-0.3293457,0.3122559,205.145,70.66412,3.572519,0,10
1.778076,-0.3762207,0.5742188,172.4809,67.55725,16.0,0,10
1.774658,-0.3894043,0.1118164,211.2824,35.05344,-19.52672,0,10
1.771973,0.6721191,0.322998,250.1298,50.78626,64.74046,0,10
1.755371,-0.3703613,0.3666992,123.4504,50.46565,-91.24428,0,10
1.751709,-0.2954102,0.1765137,193.4198,27.29771,-80.83206,0,10
1.744873,-0.3374023,0.3088379,159.7786,10.10687,-16.9084,0,10
1.738281,-0.407959,0.3007813,187.0305,35.73283,-97.94656,0,10
1.734375,-0.2661133,0.2268066,250.1298,58.92366,17.71756,0,10
1.729492,-0.0690918,0.9055176,136.1985,10.20611,40.60305,0,10
1.722168,-0.3334961,0.8632813,250.1298,69.03053,74.72519,0,10
1.719482,-0.2229004,0.9643555,250.1298,60.07634,135.7481,0,10
1.717529,-0.2089844,0.3242188,250.1298,54.86259,73.43511,0,10
1.709717,0.6274414,1.999939,250.1298,184.3359,-66.00764,0,10
1.700439,-0.3708496,0.3215332,166.916,-1.625954,-32.1832,0,10
1.695557,-0.4033203,0.2116699,210.4809,65.64886,-21.12977,0,10
1.69165,-0.1535645,-0.2612305,250.1298,-0.7022901,-76.62595,0,10
1.687256,-0.1623535,0.03076172,250.1298,39.64122,-9.679389,0,10
1.665771,-0.4216309,0.982666,232.0,153.0229,-162.1221,0,10
1.657471,-0.4584961,-0.1123047,220.4046,52.51145,-7.870229,0,10
1.657227,-0.7414551,-0.4750977,110.1069,37.86259,-36.36641,0,10
1.6521,-0.5168457,0.09155273,170.1679,17.91603,-52.75573,0,10
1.650391,-0.3012695,0.5944824,170.2443,58.74809,17.90076,0,10
1.644775,-0.5358887,-0.2695313,218.0,53.99237,-158.7634,0,10
1.639893,0.9482422,0.3034668,-250.1374,-74.80153,-82.10687,0,10
1.630615,-0.09057617,-0.798584,64.83969,39.87786,32.21374,0,1
1.628662,-0.442627,-0.1625977,211.9084,6.007634,-164.4427,0,10
1.628418,-0.3825684,-0.4631348,227.3359,36.01527,-145.458,0,10
1.626709,0.06469727,-0.02539063,-5.0,20.03053,64.0458,0,1
1.625732,-0.112793,-1.051025,158.2595,-1.694656,-211.0153,0,10
1.625488,-0.2453613,1.26709,207.4351,150.6031,63.75573,0,10
1.621338,-0.296875,0.2145996,123.4351,1.641221,31.0,0,10
1.618652,-0.1657715,1.144287,230.3588,105.2137,93.99236,0,10
1.613037,-0.5974121,-0.0859375,113.6412,9.206107,-34.29008,0,10
1.612061,-0.4741211,-0.208252,219.0076,46.89313,-247.4886,0,10
1.598877,-0.166748,0.9060059,112.2977,47.0229,93.48855,0,10
1.597656,-0.4516602,0.05517578,183.0916,37.31298,-47.22901,0,10
1.594971,-0.2668457,0.4848633,243.1298,112.6947,18.38168,0,10
1.587891,-0.2583008,-0.4421387,47.34351,-13.22137,-250.1374,0,10
1.586426,-0.0324707,-0.807373,187.6565,57.38168,-155.084,0,10
1.577148,-0.07299805,-1.6875,8.702291,7.312977,27.9084,0,1
1.576416,-0.3322754,0.642334,153.7252,58.48855,-79.96183,0,10
1.575684,-0.3352051,0.5629883,142.2977,34.57252,92.99236,0,10
1.572998,-0.4558105,0.1054688,173.9847,2.954198,-21.41985,0,10
-1.566895,-0.2636719,0.3276367,-116.8168,-13.71756,221.084,0,10
1.5625,-0.1520996,0.8847656,61.32061,44.62595,112.3359,0,10
1.561523,-0.2285156,0.7097168,157.4962,93.74809,99.12977,0,10
1.55249,-0.5969238,-0.3562012,202.1603,-7.267176,-229.0153,0,10
1.552246,-0.4963379,-0.3071289,152.3053,-16.40458,-32.03817,0,10
1.551758,-0.3068848,0.03295898,189.855,59.17557,-109.9237,0,10
1.550781,-0.3349609,0.3649902,171.0687,56.77863,64.90839,0,10
1.547119,-0.09790039,-1.215088,-35.28244,7.129771,-7.450382,0,1
1.54248,-0.1794434,0.5561523,66.99236,-52.0916,180.1679,0,10
1.54248,0.1525879,0.04833984,176.0992,0.0,81.8168,0,10
1.540283,-0.4440918,0.6865234,101.6336,36.89313,39.62595,0,10
1.538818,-0.2099609,0.6708984,197.7099,49.17557,73.99236,0,10
1.536865,-0.4890137,-0.3417969,243.2977,18.12214,-40.07634,0,10
-1.536621,-0.4829102,-1.591309,190.9389,-9.366412,-120.9313,0,10
1.5354,-0.2155762,1.457764,99.8168,142.0153,94.54962,0,10
1.530029,-0.06445313,0.2983398,-159.0763,88.9771,1.129771,0,10
1.5271,0.06958008,-0.3920898,250.1298,10.27481,-6.045802,0,10
1.526855,-0.4743652,-0.1408691,196.7099,-16.93893,-82.13741,0,10
1.520264,0.8979492,-1.095215,250.1298,13.28244,-115.1374,0,10
1.519531,-0.4333496,0.05908203,193.771,-2.40458,-7.251908,0,10
1.519287,-0.4433594,0.427002,193.6488,92.1832,-21.29771,0,10
1.515381,-0.3337402,0.3588867,176.9084,6.923664,77.60305,0,10
1.514404,0.3354492,-0.1164551,250.1298,-89.98473,201.2672,0,10
1.51416,-0.7697754,1.512695,228.6183,109.9313,219.1221,0,10
1.510498,0.06396484,0.1103516,0.02290076,1.717557,4.099236,0,0
1.510254,-0.1179199,-0.2119141,22.00763,22.63359,37.70229,0,1
1.509521,-0.5795898,-0.642334,164.7023,55.00763,-150.4122,0,10
1.509033,-0.1984863,0.5917969,185.0076,66.36641,72.58778,0,10
1.504639,0.4685059,-0.9865723,250.1298,-0.9007633,-48.83969,0,10
1.501953,0.1000977,0.09130859,250.1298,56.80153,18.18321,0,10
1.490479,1.04248,-0.2233887,250.1298,58.26717,-55.66412,0,10
1.486328,-0.4260254,0.6955566,76.15267,22.10687,0.03053435,0,10
1.479736,-0.4562988,-0.4746094,213.5191,-32.9542,-228.5802,0,10
1.478516,0.7941895,0.8112793,250.1298,192.6107,78.65649,0,10
